platform,keyword,komentar,timestamp,sentimen
twitter,tempo kepala babi,"Dear 
@prabowo
 @setkabgoid
Aku duga bapak presiden keliru segera angkat Prasetyo Hadi 
@KemensetnegRI
 sbg JUBIR terkesan mengambil alih fungsi & tg jawab Hasan Nasbi 

Hanya karena Kepala Babi yg diduga #biasa dilakukan o media asing Tempo sbg play victim",2025-05-01T08:44:34.000Z,
twitter,tempo kepala babi,"Parkir karena suruh wartawan Tempo masak paket kepala babi, …….",2025-05-01T04:51:15.000Z,
twitter,tempo kepala babi,"Masalah kepala babi itu rekayasa apa nggak ya ga ada urusan sama PCO lah, urusannya tempo

Yg jadi urusan itu statement PCO yg menunjukkan ketidakmampuan dia dalam berkomunikasi positif dalam posisinya sbg pejabat negara

Iya mrk manusia, tp mrk manusia yg diberikan akses lengkap",2025-04-30T19:16:00.000Z,
twitter,tempo kepala babi,"Tempo diserang buzzer karena jurnalisme investigatifnya yang mengungkap isu sensitif, seperti judi online, yang mengancam kepentingan kuat. Serangan ini, termasuk intimidasi fisik seperti pengiriman kepala babi dan serangan DDoS besar pada April 2025, tampaknya balasan atas",2025-04-30T16:18:36.000Z,
twitter,tempo kepala babi,"Aduh Mas 
@MardaniAliSera
  nggak usahlah muji2 
@NasbiHasan
 ..  pernyataan  HN terkait kepala babi ke team bocor halus tempo jelas2 menunjukkan komunikator yg gagal total..  kasihan PKS  mending diam jauh lebih baik.",2025-04-30T12:24:56.000Z,
twitter,tempo kepala babi,"Hasan Nasbi, manusia paling heboh. Mau mengundurkan diri aja dibuat dokumentasi

Sbg kepala Komunikasi Kepresidenan, ia shrsnya tdk boleh mengedepankan posisi politiknya sendiri selain posisi politik presiden. Ia malah kritik UU revisi TNI, kepala babi ke Tempo dll",2025-04-29T21:58:39.000Z,
twitter,tempo kepala babi,pengen masak kepala babi TEMPO hari,2025-04-29T21:20:14.000Z,
twitter,tempo kepala babi,mulai drama . Trik yg Sama kayak bocor alus tempo.. si Bocor ini bisa tau apa yg dibicarakan Jokowi-Iriana ditempat tidur tp gk tau siapa yg kirim atau kasih kepala babi dikantornya!!! wkwkwkwkwkwk!!,2025-04-29T16:43:05.000Z,
twitter,tempo kepala babi,"Teringat...
 DISWAY, 22 April 2025.
""MUNGKIN...
kepala komunikasi resmi presiden itu masih pusing setelah ''makan'' gule kepala babi yg dimasaknya sendiri utk TEMPO.""

* * * * *
.
@tempodotco
.
@korantempo
 'waktu #kedaikopi' *",2025-04-29T15:55:17.000Z,
twitter,tempo kepala babi,"29/4
Hasan Nasbi Mundur dari Kepala Kantor Komunikasi Presiden Usai Kontroversi
https://indoraya.news/hasan-nasbi-mundur-dari-kepala-kantor-komunikasi-presiden-usai-kontroversi…
Terkait kontroversi pernyataannya soal teror kepala babi di kantor Tempo.",2025-04-29T15:27:54.000Z,
