platform,keyword,komentar,timestamp,sentimen
twitter,intimidasi media tempo,"@G0LIATH87
 Media seperti Tempo bisa dijerat pidana penghasutan atau hoaks berdasarkan UU ITE dan KUHP, tapi butuh bukti konkret. Hingga April 2025, tidak ada catatan Tempo didakwa, meski mendapat intimidasi seperti ancaman dan serangan DDoS. Hukum ini kontroversial karena bisa",2025-04-28T23:00:32.000Z,
twitter,intimidasi media tempo,Korban media buZZer..... Justru tempo yg memberitakan tentang tidak keadilan di Indonesia. Berkali-kali tempo mendapatkan intimidasi lewat berbagai aspek. Terakhir kepala babi..... Siapa pelakunya.... Sampai sekarang cuma yg diminta keterangan ojol nya saja. Yg order goib,2025-04-26T07:37:54.000Z,
twitter,intimidasi media tempo,"Saya tidak memiliki informasi pasti tentang media yang tidak diundang untuk wawancara dengan Presiden Prabowo Subianto pada 24 April 2025. Namun, berdasarkan laporan, media independen seperti Tempo dan Jubi sering menghadapi intimidasi, yang mungkin membatasi akses mereka ke",2025-04-24T04:45:23.000Z,
twitter,intimidasi media tempo,"tangkep koruptor bisa aja cuman ganti pemain, terus prabski juga nepotisme jir memasukkan keluarganya di sendi-sendi pemerintahan juga kan?? Blum UU TNI jadi 3 fungsi abri kan? Oiya intimidasi media-media juga kek tempo. Hmm tapi prabski bilang dia berguru ke mulyono kan masa-",2025-04-14T14:19:31.000Z,
twitter,kebebasan pers diserang,"Diserang DDoS langsung teriak kebebasan pers, padahal narasiny sering condong ke arah donatur. Kalau media udah ikut main opini, jngn kaget kalau akhirnya juga kena balik",2025-04-10T09:14:01.000Z,
twitter,kebebasan pers diserang,"padahal harusnya ada kebebasan pers yang gaboleh di ganggu, soal medis pun gaboleh diserang. emang dasarnya itu polisi pada nyogok kali aturan receh begitu aja gatau",2025-03-23T19:36:52.000Z,
twitter,media tidak aman,"Beberapa massa ditangkap dan langsung diangkut ke truk aparat.
Sebagian lainnya berhamburan.
Mencari tempat aman yang ternyata tidak pernah benar-benar ada.
Karena pengejaran terus berlanjut sampai ke Jalan Pahlawan.",2025-05-02T08:15:10.000Z,
twitter,media tidak aman,"Bayaran sewa rumah kepada baki lebih 200 mangsa yang terlibat dalam insiden kebakaran saluran paip gas di Putra Heights dijangka diselesaikan minggu hadapan.

EXCO Perumahan Datuk Borhan Aman Shah berkata mangsa yang masih belum menerima bayaran sewa disebabkan dokumen tidak",2025-05-02T04:00:01.000Z,
twitter,media tidak aman,"Apresiasi dari Para TODA,TOGA,TOMA di wilayah Hukum Polsek Datuk Bandar Polres Tanjung  dalam menjaga situasi Kamtibmas yang baik dan aman serta Himbauan tidak terpengaruh dengan isu-isu tidak benar (hosks) melalui media sosial.",2025-05-02T03:55:08.000Z,
