platform,keyword,komentar,timestamp,sentimen
twitter,tempo kepala babi,"Kantor Tempo mendapat kiriman kepala babi pada Rabu, 19 Maret 2025. Kepala babi tersebut dibungkus kotak kardus yang dilapisi styrofoam.

Kotak berisi kepala babi tersebut ditujukan kepada “Cica”.

#tempodotco #tempo",2025-03-20T10:06:52.000Z,
twitter,tempo kepala babi,Breaking News: Kantor Tempo Mendapat Kiriman Kepala Babi,2025-03-20T09:54:40.000Z,
twitter,tempo kepala babi,"diamnya najwa shihab dan media, teror kepala babi dan bangkai tikus yg dipenggal kepalanya ke jurnalis tempo, dibunuhnya juwita, ilangnya akun ferry irwandi, diserang & disabotasenya tim medis-jurnalis-mobil ambulan bukti nyata bahwa rezim biadab ini sudah gak peduli sama rakyat.",2025-03-27T16:23:19.000Z,
twitter,tempo kepala babi,Prabowo Klaim Teror Kepala Babi ke Redaksi Tempo untuk Adu Domba,2025-04-07T16:39:09.000Z,
twitter,tempo kepala babi,"Jurnalis Tempo sekaligus host Bocor Alus dikirimi kepala babi

Cara main yang hanya bisa dilakukan oleh orang-orang yang tidak sanggup diajak berpikir.",2025-03-20T09:40:48.000Z,
twitter,tempo kepala babi,"Lain kali ngirim jangan kepala babi, daging babi gitu lho yg enak 
Mana telinganya udah ga ada 

Kantor Tempo Mendapat Kiriman Kepala Babi dari Orang Tak Dikenal",2025-03-20T09:49:18.000Z,
twitter,tempo kepala babi,"Perempuan Jurnalis Rentan Mendapatkan Intimidasi

Jurnalis Tempo mendapat intimidasi paket kepala babi tanpa telinga

Ketua Dewan Pers mengatakan teror kepala babi menambah panjang daftar serangan terhadap jurnalis perempuan.

#TempoHarian #TempoPlus",2025-03-27T00:32:33.000Z,
twitter,tempo kepala babi,"Selamat datang orde teror.

Kantor Tempo dikirimi kepala Babi yang ditujukan ke Cica (team bocor alus). 
Pengirim kepala babi ini tidak bernama dan tidak diketahui alamatnya.
Semoga Mbak Cica tetap kuat dan kita satukan dalam doa.

(Katomin sebenarnya ngiler lihatnya tapi sayang",2025-03-20T16:32:22.000Z,
twitter,tempo kepala babi,Istana Tanggapi Teror Kepala Babi ke Jurnalis Tempo: Sudah Dimasak Aja,2025-03-22T05:40:54.000Z,
twitter,tempo kepala babi,"Lg sarapan ubi, lah mirip kepala babi tempo",2025-04-12T01:08:23.000Z,
twitter,tempo kepala babi,"Pengiriman kepala babi kepada kantor Tempo adalah teror terhadap kebebasan pers. Hal ini sangat bertentangan dengan UU Pers dan Hak Asasi Manusia. 

#KamiBersamaTempo",2025-03-20T12:05:08.000Z,
twitter,tempo kepala babi,"Kepala Komunikasi Presiden 
@NasbiHasan
 diminta tanggapan tentang wartawati 
@tempodotco
 yang dikirimkan kepala babi, dijawab dengan “udah, dimasak aja”.
Lagi2 pemerintah menunjukkan komunikasi yang buruk dengan tidak bersimpati 
Ingat, Bang. Mulut Anda adalah mulut presiden!",2025-03-21T21:19:26.000Z,
