"User ID","Username","Comment ID","Comment","Comment Time","User Homepage","Avatar URL"
"3307792404","farika.mp4","=""18066651304899264""","@muhammad_hadziiq 🤣🤣🤣","3/24/2025, 4:58:35 PM","https://www.instagram.com/farika.mp4","https://scontent-cgk1-1.cdninstagram.com/v/t51.2885-19/469642702_935204191880685_2195500741833152565_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk1-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=9pjIlaW4-pMQ7kNvwEsZYTe&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfGaf4Uq9MwisNTHZcw7-VrS0yE0EEsyDkXNT7OMRTAgvw&oe=681CC53F&_nc_sid=0985b0"
"720777908","azkaji","=""18043836374595010""","Negaranya para pejabat 💩🐗","3/24/2025, 5:00:45 PM","https://www.instagram.com/azkaji","https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/462317878_2455729508151970_4226750466746986531_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=jwstcKxdXfgQ7kNvwHtszsS&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfEC5JALTY-HwxFzdIlZ1wRQjSTqSFC7MTR0cfBwV1qFqQ&oe=681CF547&_nc_sid=0985b0"
"32208985218","cha_momileae","=""17894980029189959""","😢😮","3/24/2025, 5:11:57 PM","https://www.instagram.com/cha_momileae","https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/489066633_1385931135666699_6053031476849949035_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=bi50wG2CKLkQ7kNvwEVJQip&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfEfKER8BUM9kiCkKqqxV69hjgeqharpyHXMTsfZnd41iA&oe=681CCAA2&_nc_sid=0985b0"
"71142435535","emmaaja88","=""18353321788150717""","#kamibersamatempo✊✊","3/24/2025, 5:20:40 PM","https://www.instagram.com/emmaaja88","https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/482348499_656856806842160_3144958671038928610_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=BXD13hhVcJoQ7kNvwGxnQDc&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfHvvo-GM4kvrHBVxohcBPLkPcFHt2-7qGGZER3Kxkwggg&oe=681CED24&_nc_sid=0985b0"
"1742596321","muhammad_hadziiq","=""17899116465160027""","@farika.mp4 wkwkkw","3/24/2025, 5:53:41 PM","https://www.instagram.com/muhammad_hadziiq","https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/480753091_1298217278133430_3186240958365627078_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=WGw9KKRZHQQQ7kNvwEltGu7&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfFc_EwPSqDVAqWEBdWGu1xXMMN4BxB-gFldJBzdHzqHRA&oe=681CD73D&_nc_sid=0985b0"
"3968292941","mahkotawatch.id","=""18063303556811246""","Ingat jam, ingat Mahkota watch","3/24/2025, 6:07:51 PM","https://www.instagram.com/mahkotawatch.id","https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/69615944_443936096477326_2924820609147863040_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=IaBEREXbeO8Q7kNvwEr-J86&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfEMR6Z9-nTns0KGBCR_R_r7OPbuGVj27omitduqKQYcLg&oe=681CD919&_nc_sid=0985b0"
"1520960330","dontmcc0y","=""17870388504338697""","Banyak tikus dikantor kantor perlu dipenggal juga","3/24/2025, 6:19:38 PM","https://www.instagram.com/dontmcc0y","https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/460695516_505728098991304_3837508579465737117_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=uLDNOvFqGrEQ7kNvwHJiVmd&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfHbL2naAVxjMSTJVW6OY49zEqqJJfNeUDHPd743uxHd9A&oe=681CDEFE&_nc_sid=0985b0"
"4276841595","3rdi_1","=""18303785830212669""","Tikus hewan dilindungi, g ada yang berani sahkan UU Perampasan Aset Koruptor...","3/24/2025, 7:04:12 PM","https://www.instagram.com/3rdi_1","https://scontent-cgk2-2.cdninstagram.com/v/t51.2885-19/483679678_817820043881369_5050404748136036696_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk2-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=FXEczT6SG1kQ7kNvwFNSULZ&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfEIMQC05mE-TLhX92oAgHOjoilFswEYAiCpTHRBBsPPOg&oe=681CD107&_nc_sid=0985b0"
"6630887158","a.chrstyy","=""17860890006380796""","tikus ngirimin tikus😂😂","3/24/2025, 7:26:19 PM","https://www.instagram.com/a.chrstyy","https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/491460659_18290636032223159_3172085470238008139_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=wtO1s1KsrsAQ7kNvwFjoKPb&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfF1V3wKEI580ASemRKLbLRReGkhegSprQG87qWZmwupnA&oe=681CC770&_nc_sid=0985b0"
"49423005177","alz.bmetya","=""18038196629225450""","Orde baru balik nih","3/24/2025, 7:40:27 PM","https://www.instagram.com/alz.bmetya","https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/484811474_664110782629058_1628492301001661105_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=3M3kYOVOBhgQ7kNvwEezmpF&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfGSj08rl4ONW5kNVmpxLbSTLQEIBNcaSw2CU79RGEgPbw&oe=681CCBDF&_nc_sid=0985b0"
"5398434169","ariefrhman147","=""17900451666152411""","@rahmtdhann_ ujinyo dimasak bae mat","3/24/2025, 7:42:28 PM","https://www.instagram.com/ariefrhman147","https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/424851932_3413834815428871_1588137151425662629_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=vNJQSpkygX8Q7kNvwFQg--O&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfG4pUaV0TlMbwewcq7Aa4AdG2TLC2l1sgiJEh0T2XDYYw&oe=681CD305&_nc_sid=0985b0"
"71913133364","dvsora_","=""17968397906848272""","@shizume_ parah si bas","3/24/2025, 7:50:09 PM","https://www.instagram.com/dvsora_","https://scontent-cgk2-1.cdninstagram.com/v/t51.2885-19/487549440_1321436532493970_3446534832495205070_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk2-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=kx-I18xnHisQ7kNvwFF8hU8&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfGsqqqI6f3XGwmJotwNMvS7mY_vRtKfD1ZEfArbeDvCQg&oe=681CE4EA&_nc_sid=0985b0"
"2112069170","diannissss","=""18067301812915259""","@emmamrz dpr berduka😢","3/24/2025, 8:13:25 PM","https://www.instagram.com/diannissss","https://scontent-cgk1-2.cdninstagram.com/v/t51.2885-19/491902510_18479437660069171_6326357896122406296_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-cgk1-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFPeE9nTL9G7NYtkGSsjVxGtZD0UpCoqTN7l8o3KJjCgQw68jF8bQMekSj1GtNHsRY&_nc_ohc=UXjxOtycp4sQ7kNvwGpKVZI&_nc_gid=_1aNr8_J8FnWt71V86FIsg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfEUV8UmJD3JrqyM5wFaHe0XXf8JGkoOpjcgJCtG5wUyfQ&oe=681CF2A7&_nc_sid=0985b0"
